#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
8,"Bryce
 Stenzel",SPR,Fr,P,22,0,0,3,0,0,133,26.33,0.46,70,25,8.55,24,19,20,6.84,15.04,31,10.59,23.31,1.55,4,8,61.18,6.49,86.92,7.39,98.83,-0.90,1.71
9,"Mitch
 Dye",SPR,So,P,2,2,1,0,0,0,38,8.00,0.14,29,14,15.75,8,4,0,0.00,0.00,8,9.00,21.05,#NUM!,0,1,46.67,4.50,60.27,2.95,39.47,1.55,1.75
10,"Trent
 Koehler",SPR,Fr,IF,12,0,3,1,4,0,58,14.00,0.25,31,9,5.79,3,3,5,3.21,8.62,19,12.21,32.76,3.80,1,2,89.04,1.93,25.85,4.29,57.40,-2.36,1.00
11,"Hunter
 Moser",SPR,So,OF,2,0,0,0,0,0,10,2.67,0.05,9,2,6.74,0,0,0,0.00,0.00,1,3.38,10.00,#NUM!,0,0,100.00,0.00,0.00,3.83,51.20,-3.83,0.75
12,"Brant
 Smith",SPR,Fr,P,16,1,2,3,0,0,165,34.67,0.63,91,36,9.35,24,23,24,6.23,14.55,46,11.94,27.88,1.92,2,2,64.19,5.97,79.95,4.92,65.85,1.05,1.73
13,"Trey
 Carter",SPR,Fr,P,3,3,0,1,0,0,53,11.33,0.20,27,11,8.74,7,7,9,7.15,16.98,15,11.91,28.30,1.67,1,1,71.43,5.56,74.46,5.72,76.57,-0.16,1.77
14,"Jacob
 Hager",SPR,Sr,IF,5,0,0,0,0,0,29,4.33,0.08,15,7,14.55,10,10,5,10.39,17.24,5,10.38,17.24,1.00,0,4,37.50,20.77,278.16,8.50,113.76,12.27,2.77
15,"AJ
 Golembiewski",SPR,Jr,P,12,0,2,0,0,0,106,25.33,0.44,67,12,4.26,8,7,15,5.33,14.15,19,6.75,17.92,1.27,1,4,77.70,2.49,33.35,5.84,78.13,-3.35,1.07
17,"Will
 Davidsmeier",SPR,Fr,P,8,4,2,2,0,0,95,19.67,0.35,45,13,5.95,19,12,22,10.07,23.16,20,9.15,21.05,0.91,4,4,59.88,5.49,73.53,9.15,122.45,-3.66,1.78
20,"Payton
 Matthews",SPR,So,OF,1,0,0,0,0,0,7,1.00,0.02,4,3,27.00,1,1,1,9.00,14.29,2,18.00,28.57,2.00,0,0,75.00,9.00,120.53,3.57,47.84,5.43,4.00
22,"Isaiah
 Naylor",SPR,Jr,P,4,0,0,1,1,0,20,4.00,0.07,14,6,13.50,3,3,2,4.50,10.00,4,9.00,20.00,2.00,0,0,62.50,6.75,90.40,4.07,54.53,2.68,2.00
25,"Zane
 Danielson",SPR,Fr,P,12,6,2,2,0,0,173,37.33,0.68,103,35,8.44,34,27,23,5.55,13.29,40,9.64,23.12,1.74,4,3,48.74,6.51,87.19,5.91,79.14,0.60,1.55
26,"Mike
 Sullivan",SPR,Fr,P,10,0,1,0,1,0,48,11.00,0.19,32,7,5.73,5,2,5,4.09,10.42,11,9.00,22.92,2.20,0,0,58.33,1.64,21.96,3.94,52.70,-2.30,1.09
27,"Matthew
 Ulrici",SPR,Fr,P,7,0,1,1,0,0,69,12.67,0.22,47,16,11.37,12,10,10,7.10,14.49,7,4.97,10.14,0.70,0,5,61.29,7.11,95.22,7.02,93.96,0.09,2.05
29,"Logan
 Tabeling",SPR,Jr,P,3,0,1,0,0,0,29,5.00,0.09,14,8,14.40,7,6,4,7.20,13.79,10,18.00,34.48,2.50,0,1,46.15,10.80,144.64,3.57,47.84,7.23,2.40
31,"Grant
 Marshall",SPR,Fr,P,6,2,1,0,0,0,76,16.33,0.29,48,18,9.92,11,11,8,4.41,10.53,16,8.82,21.05,2.00,2,2,67.46,6.06,81.16,6.04,80.89,0.02,1.59
32,"Cody
 Ellis",SPR,Fr,P,2,2,0,1,0,0,32,3.67,0.06,22,11,26.98,13,7,7,17.17,21.88,1,2.45,3.13,0.14,1,1,34.09,17.18,230.08,14.11,188.84,3.07,4.90
33,"Matt
 Miscik",SPR,Fr,P,10,10,2,2,0,0,162,33.33,0.61,90,36,9.72,30,26,29,7.83,17.90,31,8.37,19.14,1.07,4,8,63.80,7.02,94.02,7.61,101.77,-0.59,1.95
34,"Brody
 Logsdon",SPR,So,P,13,0,3,0,2,0,83,17.33,0.30,49,14,7.27,9,3,10,5.19,12.05,21,10.90,25.30,2.10,0,3,66.67,1.56,20.89,4.40,58.90,-2.84,1.38
35,"Chris
 Kustigian",SPR,Jr,OF,1,0,0,0,0,0,14,2.00,0.03,12,6,27.00,4,2,0,0.00,0.00,0,0.00,0.00,#NUM!,2,0,62.50,9.00,120.53,17.57,235.19,-8.57,3.00
37,"Jase
 Daley",SPR,Fr,P,3,0,0,0,0,0,20,2.33,0.04,12,7,27.04,9,8,6,23.18,30.00,0,0.00,0.00,0.00,1,1,39.68,30.86,413.29,19.17,256.50,11.69,5.58
38,"Laine
 Axtetter",SPR,Fr,P,5,0,0,1,0,0,45,7.33,0.13,24,10,12.28,11,10,9,11.05,20.00,6,7.36,13.33,0.67,0,6,56.00,12.27,164.33,9.08,121.47,3.19,2.59
75,"Cole
 Smith",SPR,Fr,P,3,0,0,1,0,0,17,3.00,0.05,11,4,12.00,4,4,3,9.00,17.65,2,6.00,11.76,0.67,0,1,50.00,12.00,160.71,7.24,96.91,4.76,2.33
96,"Nick
 Terrell",SPR,Sr,IF,1,0,0,0,0,0,5,1.00,0.02,4,2,18.00,1,1,0,0.00,0.00,1,9.00,20.00,#NUM!,0,0,50.00,9.00,120.53,2.57,34.46,6.43,2.00
97,"Bryan
 Jubelt",SPR,Fr,P,1,0,0,0,0,0,12,2.00,0.03,7,3,13.50,3,3,2,9.00,16.67,2,9.00,16.67,1.00,0,1,50.00,13.50,180.80,7.07,94.68,6.43,2.50
99,"Jaylen
 Morgan",SPR,So,P,6,4,1,1,0,0,87,20.00,0.35,55,17,7.65,13,10,8,3.60,9.20,17,7.65,19.54,2.12,3,4,64.52,4.50,60.27,6.62,88.65,-2.12,1.25
99,"Blake
 Donnan",SPR,Fr,P,5,5,0,2,0,0,100,18.33,0.32,54,23,11.29,25,21,19,9.33,19.00,20,9.82,20.00,1.05,1,6,49.36,10.31,138.08,7.19,96.26,3.12,2.29
99,"Connor
 McCaleb",SPR,Fr,P,7,2,2,0,1,0,91,18.00,0.32,59,22,11.00,14,8,10,5.00,10.99,14,7.00,15.38,1.40,2,6,68.18,4.00,53.57,7.13,95.42,-3.13,1.78
99,"Gavin
 Craggs",SPR,So,P,5,2,0,2,0,0,46,8.67,0.15,27,9,9.34,13,10,12,12.46,26.09,7,7.27,15.22,0.58,0,0,38.10,10.38,139.01,7.11,95.18,3.27,2.42
99,"KJ
 Baker",SPR,So,P,2,2,0,1,0,0,26,6.33,0.11,18,5,7.11,2,2,2,2.84,7.69,5,7.11,19.23,2.50,0,1,75.00,2.84,38.03,4.42,59.11,-1.58,1.11
99,"Brendan
 Strenke",SPR,Fr,P,6,0,0,0,0,0,34,5.67,0.10,18,11,17.46,8,6,7,11.11,20.59,7,11.12,20.59,1.00,1,1,62.50,9.53,127.63,8.63,115.50,0.90,3.17
99,"Patrick
 Graham",SPR,Fr,IF,2,0,0,0,1,0,17,4.00,0.07,11,1,2.25,1,1,3,6.75,17.65,2,4.50,11.76,0.67,1,0,115.38,2.25,30.13,9.07,121.44,-6.82,1.00
99,"Nolan
 Self",SPR,So,C,1,0,0,0,0,0,10,2.00,0.03,7,2,9.00,2,1,1,4.50,10.00,2,9.00,20.00,2.00,0,0,33.33,4.50,60.27,4.07,54.53,0.43,1.50
99,"Matthew
 Cruise",SPR,Fr,P,1,1,0,0,0,0,11,1.67,0.03,6,2,10.78,2,2,2,10.78,18.18,0,0.00,0.00,0.00,0,3,71.43,10.80,144.64,13.56,181.42,-2.76,2.40
99,"Ty
 Rhoades",SPR,Fr,IF,1,0,0,0,0,0,2,0.00,0.00,0,0,0.00,2,2,2,#NUM!,100.00,0,0.00,0.00,0.00,0,0,0.00,,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#NUM!
1,"Blake
 Mincey",TER,So,P,2,0,0,1,1,0,24,6.00,0.10,16,3,4.50,5,5,3,4.50,12.50,5,7.50,20.83,1.67,0,0,16.67,7.50,120.32,4.41,70.66,3.09,1.00
4,"Jayson
 Cottrell",TER,Fr,P,2,0,0,0,0,0,25,5.00,0.08,16,5,9.00,4,4,7,12.60,28.00,2,3.60,8.00,0.29,0,0,66.67,7.20,115.50,7.97,127.83,-0.77,2.40
5,"CJ
 O'Dell",TER,Fr,P,14,5,2,2,0,0,173,37.33,0.65,119,28,6.75,19,17,25,6.03,14.45,14,3.38,8.09,0.56,3,12,75.66,4.10,65.77,7.84,125.72,-3.74,1.42
6,"Blake
 Nigg",TER,Jr,P,2,2,0,1,0,0,49,8.00,0.14,34,16,18.00,18,15,7,7.88,14.29,4,4.50,8.16,0.57,2,2,31.53,16.88,270.79,10.20,163.50,6.68,2.88
9,"Clay
 Hendry",TER,So,P,9,2,2,1,1,0,127,27.67,0.49,92,27,8.78,14,11,14,4.55,11.02,19,6.18,14.96,1.36,1,1,68.97,3.58,57.43,5.30,84.92,-1.72,1.48
11,"Tanner
 Perry",TER,So,P,1,1,0,0,0,0,13,3.00,0.05,9,3,9.00,0,0,0,0.00,0.00,3,9.00,23.08,#NUM!,0,1,100.00,0.00,0.00,3.57,57.30,-3.57,1.00
15,"Kaleb
 Marrs",TER,Fr,P,8,2,2,2,0,0,98,21.33,0.37,66,19,8.02,9,9,17,7.17,17.35,13,5.48,13.27,0.76,1,1,78.65,3.80,60.96,6.50,104.14,-2.70,1.69
17,"Derek
 Lebron",TER,Fr,P,12,1,0,0,0,0,73,10.00,0.18,31,11,9.90,25,21,28,25.20,38.36,8,7.20,10.96,0.29,0,6,44.44,18.90,303.19,13.17,211.19,5.73,3.90
19,"Tripper
 Capps",TER,Jr,IF,1,0,0,1,0,0,10,2.00,0.03,5,1,4.50,1,0,3,13.50,30.00,2,9.00,20.00,0.67,0,0,75.00,0.00,0.00,7.07,113.40,-7.07,2.00
20,"Evan
 Price",TER,Fr,P,1,1,0,0,0,0,26,5.00,0.08,19,9,16.20,4,2,4,7.20,15.38,3,5.40,11.54,0.75,0,0,69.23,3.60,57.75,5.77,92.57,-2.17,2.60
23,"Nazhir
 Bergen",TER,Fr,OF,1,0,1,0,0,0,5,1.00,0.02,4,2,18.00,2,2,0,0.00,0.00,0,0.00,0.00,#NUM!,0,1,33.33,18.00,288.76,7.57,121.42,10.43,2.00
24,"Xavier
 Croxton",TER,Jr,OF,1,0,0,0,0,0,8,1.00,0.02,5,3,27.00,1,1,2,18.00,25.00,1,9.00,12.50,0.50,0,0,80.00,9.00,144.38,8.57,137.45,0.43,5.00
26,"Brayden
 Lybarger",TER,So,P,4,2,0,1,0,0,44,6.67,0.12,22,11,14.84,16,14,12,16.19,27.27,8,10.80,18.18,0.67,0,2,36.00,18.90,303.19,8.47,135.82,10.43,3.45
28,"Alex
 Marx",TER,So,C,1,0,0,0,0,0,4,0.33,0.01,1,1,27.27,3,3,3,81.82,75.00,0,0.00,0.00,0.00,0,0,25.00,81.00,1299.40,31.85,510.50,49.15,12.12
29,"Warren
 Bailey",TER,Jr,C,1,0,0,0,0,0,15,3.00,0.05,9,1,3.00,1,1,0,0.00,0.00,2,6.00,13.33,#NUM!,1,3,115.38,3.00,48.13,10.57,169.51,-7.57,0.33
30,"Nathan
 Frady",TER,Fr,P,2,2,0,0,0,0,56,12.00,0.21,45,13,9.75,7,7,5,3.75,8.93,3,2.25,5.36,0.60,1,2,69.89,5.25,84.22,6.91,110.73,-1.66,1.50
32,"Carter
 Murphy",TER,Fr,IF,1,0,0,0,0,0,6,1.00,0.02,3,2,18.00,1,1,1,9.00,16.67,2,18.00,33.33,2.00,0,0,66.67,9.00,144.38,3.57,57.30,5.43,3.00
33,"Clayton
 Weisheit",TER,Fr,P,2,2,2,0,0,0,46,10.00,0.18,22,9,8.10,3,3,7,6.30,15.22,17,15.30,36.96,2.43,0,0,81.25,2.70,43.31,3.27,52.49,-0.57,1.60
34,"Sam
 Pesa",TER,So,IF,3,0,0,0,0,0,26,2.67,0.05,16,10,33.71,14,13,5,16.85,19.23,1,3.38,3.85,0.20,0,4,26.32,43.88,703.92,13.94,223.42,29.94,5.62
37,"Morgan
 Colopy",TER,Jr,OF,1,0,0,0,0,0,7,0.67,0.01,3,2,26.87,2,2,3,40.30,42.86,1,13.50,14.29,0.33,0,0,60.00,27.00,433.13,15.02,240.80,11.98,7.46
72,"Bryce
 Martens",TER,So,P,7,0,0,2,0,0,52,10.67,0.19,34,15,12.65,11,11,6,5.06,11.54,9,7.59,17.31,1.50,2,1,57.29,9.28,148.87,7.29,116.90,1.99,1.97
73,"Cade
 Rusch",TER,Fr,P,10,0,0,0,0,0,46,5.67,0.10,24,10,15.87,16,12,18,28.57,39.13,1,1.59,2.17,0.06,0,3,48.39,19.06,305.76,15.33,245.78,3.73,4.94
74,"Casey
 Henry",TER,Jr,P,4,4,1,1,0,0,89,21.00,0.37,59,13,5.57,9,9,15,6.43,16.85,12,5.14,13.48,0.80,1,2,73.43,3.86,61.92,6.48,103.86,-2.62,1.33
74,"Donnie
 Dycus",TER,Fr,P,11,0,1,2,2,0,84,16.33,0.29,57,23,12.68,11,9,14,7.72,16.67,9,4.96,10.71,0.64,1,3,75.13,4.96,79.57,7.39,118.48,-2.43,2.27
75,"Caleb
 Hohman",TER,Fr,OF,4,1,0,2,0,0,35,7.33,0.13,27,9,11.05,9,9,4,4.91,11.43,3,3.68,8.57,0.75,1,0,34.48,11.05,177.26,7.17,114.88,3.88,1.77
75,"Oscar
 Welsh",TER,Fr,P,2,0,0,0,0,0,13,2.67,0.05,10,2,6.74,4,4,0,0.00,0.00,2,6.75,15.38,#NUM!,0,1,-33.33,13.50,216.57,4.20,67.33,9.30,0.75
76,"Dawson
 Smith",TER,So,P,3,3,1,0,0,0,64,18.00,0.32,38,7,3.50,4,4,5,2.50,7.81,19,9.50,29.69,3.80,2,0,86.96,2.00,32.08,4.74,76.00,-2.74,0.67
76,"Jeremy
 Piatkiewicz",TER,Jr,IF,4,0,0,0,1,0,25,6.33,0.11,21,5,7.11,3,3,1,1.42,4.00,3,4.26,12.00,3.00,0,0,50.00,4.26,68.34,4.10,65.73,0.16,0.95
77,"Camden
 Karczewski",TER,So,C,3,0,0,0,0,0,25,5.00,0.08,16,6,10.80,2,2,0,0.00,0.00,6,10.80,24.00,#NUM!,0,3,77.78,3.60,57.75,3.97,63.71,-0.37,1.20
79,"Connor
 Brady",TER,Fr,P,5,4,1,1,0,0,86,19.00,0.33,64,20,9.47,12,11,12,5.68,13.95,7,3.32,8.14,0.58,2,1,69.54,5.21,83.58,7.26,116.36,-2.05,1.68
79,"Eric
 Cunning",TER,Fr,P,5,4,0,1,0,0,78,13.67,0.24,57,23,15.14,22,19,12,7.90,15.38,6,3.95,7.69,0.50,1,2,42.13,12.51,200.69,7.72,123.75,4.79,2.56
80,"Zacheus
 Carr",TER,Jr,P,1,1,1,0,0,0,24,5.33,0.09,9,5,8.44,4,4,2,3.38,8.33,9,15.19,37.50,4.50,1,3,69.77,6.75,108.28,6.45,103.41,0.30,1.31
81,"Landon
 Carr",TER,Fr,P,7,4,1,1,1,1,111,24.00,0.42,71,20,7.50,22,20,18,6.75,16.22,17,6.38,15.32,0.94,4,1,50.90,7.50,120.32,7.70,123.42,-0.20,1.58
82,"Justin
 Bogard",TER,Fr,OF,3,1,0,1,0,0,33,8.33,0.15,27,6,6.48,3,3,2,2.16,6.06,3,3.24,9.09,1.50,0,1,66.67,3.24,51.98,4.93,79.10,-1.69,0.96
83,"Damon
 Cox",TER,Jr,P,3,0,0,1,0,0,27,4.33,0.07,10,4,8.31,11,11,10,20.79,37.04,5,10.38,18.52,0.50,1,1,29.41,22.85,366.56,12.89,206.60,9.96,3.23
89,"Jean
 Gonzalez",TER,Jr,IF,2,0,0,0,0,0,21,4.67,0.08,14,5,9.64,3,3,2,3.85,9.52,3,5.79,14.29,1.50,1,1,75.76,5.79,92.88,8.00,128.25,-2.21,1.50
90,"Payton
 Adkisson",TER,So,P,18,3,1,4,0,0,135,22.33,0.39,96,45,18.14,39,28,13,5.24,9.63,15,6.04,11.11,1.15,5,6,43.86,11.28,180.95,8.69,139.37,2.59,2.60
90,"Greg
 Wiley",TER,So,P,4,4,0,2,0,0,80,14.67,0.26,44,18,11.04,17,17,17,10.43,21.25,14,8.59,17.50,0.82,3,2,60.98,10.43,167.32,9.21,147.63,1.22,2.39
91,"Tyce
 Ochs",TER,So,P,8,3,1,1,1,0,99,23.33,0.41,55,19,7.33,8,8,9,3.47,9.09,31,11.96,31.31,3.44,0,4,75.00,3.09,49.57,3.59,57.53,-0.50,1.20
91,"Nolan
 Miller",TER,So,P,6,0,1,2,0,0,55,10.00,0.18,42,14,12.60,14,11,7,6.30,12.73,5,4.50,9.09,0.71,0,1,36.36,9.90,158.82,5.97,95.77,3.93,2.10
94,"Jonathon
 Hanscom",TER,Jr,P,2,0,0,0,0,0,45,10.00,0.18,30,12,10.80,8,8,3,2.70,6.67,10,9.00,22.22,3.33,0,2,52.94,7.20,115.50,4.07,65.32,3.13,1.50
96,"Dominic
 Gill",TER,Fr,P,9,3,0,2,0,0,113,23.00,0.40,80,26,10.17,22,17,15,5.87,13.27,15,5.87,13.27,1.00,1,2,50.48,6.65,106.68,6.05,97.03,0.60,1.78
98,"Diego
 Cardenas",TER,So,P,5,0,0,0,0,0,31,6.00,0.10,20,6,9.00,6,6,5,7.50,16.13,4,6.00,12.90,0.80,0,2,53.85,9.00,144.38,6.74,108.06,2.26,1.83
99,"Cory
 Wolter",TER,So,P,1,0,0,0,1,0,4,1.00,0.02,4,1,9.00,0,0,0,0.00,0.00,0,0.00,0.00,#NUM!,0,0,100.00,0.00,0.00,4.57,73.33,-4.57,1.00
2,"Levin
 East",THR,Fr,P,2,1,0,1,0,0,18,3.00,0.05,8,4,12.00,7,7,3,9.00,16.67,4,12.00,22.22,1.33,0,3,30.00,21.00,319.92,7.91,120.38,13.09,2.33
5,"Ben
 Eisenhauer",THR,So,P,14,1,1,2,0,0,107,21.33,0.39,67,27,11.39,23,22,14,5.91,13.08,18,7.59,16.82,1.29,3,5,55.02,9.28,141.37,7.39,112.46,1.89,1.92
6,"Kaleb
 Herbert",THR,So,IF,1,0,0,0,0,0,4,0.67,0.01,4,2,26.87,1,1,0,0.00,0.00,0,0.00,0.00,#NUM!,0,0,50.00,13.50,205.66,4.57,69.64,8.93,2.99
9,"Logan
 Mueller",THR,Fr,P,14,0,4,0,3,0,98,21.00,0.38,60,27,11.57,17,17,8,3.43,8.16,27,11.57,27.55,3.38,2,1,57.23,7.29,111.06,4.53,68.91,2.76,1.67
12,"Noah
 Willingham",THR,So,P,5,2,0,1,0,0,62,13.33,0.24,40,15,10.13,14,13,4,2.70,6.45,10,6.75,16.13,2.50,4,4,51.72,8.78,133.76,8.78,133.59,0.00,1.43
14,"Chase
 Austin",THR,Fr,IF,1,0,0,0,0,0,9,0.33,0.01,6,5,136.36,8,8,2,54.55,22.22,0,0.00,0.00,0.00,0,1,0.00,216.00,3290.60,31.85,484.80,184.15,21.21
17,"Shane
 Wilhelm",THR,Sr,P,8,4,2,2,0,0,130,26.33,0.48,95,34,11.62,27,22,13,4.44,10.00,15,5.13,11.54,1.15,1,6,50.39,7.52,114.56,6.09,92.76,1.43,1.79
18,"Nick
 Oyster",THR,So,P,6,5,2,0,0,0,104,26.33,0.48,79,23,7.86,11,9,11,3.76,10.58,12,4.10,11.54,1.09,1,1,71.43,3.08,46.92,5.52,84.09,-2.44,1.29
19,"James
 Cravens",THR,Fr,P,8,4,1,0,0,0,84,17.00,0.31,56,18,9.53,10,10,12,6.35,14.29,10,5.29,11.90,0.83,1,5,74.40,5.29,80.59,7.16,109.04,-1.87,1.76
21,"Kale
 Cameron",THR,Fr,P,11,2,2,1,0,0,132,28.00,0.51,90,34,10.93,16,13,14,4.50,10.61,21,6.75,15.91,1.50,2,5,73.71,4.18,63.68,6.04,91.93,-1.86,1.71
22,"Preston
 Drebes",THR,Fr,P,14,1,5,2,0,0,132,26.67,0.48,73,26,8.77,25,24,19,6.41,14.39,28,9.45,21.21,1.47,2,10,57.47,8.10,123.40,6.71,102.17,1.39,1.69
26,"Ben
 Vaughn",THR,Fr,P,7,0,0,0,0,0,34,6.67,0.12,23,8,10.79,6,5,6,8.10,17.65,3,4.05,8.82,0.50,1,1,66.18,6.75,102.83,8.77,133.54,-2.02,2.10
30,"Scott
 Wood",THR,So,P,12,9,3,2,0,1,179,42.33,0.77,104,37,7.87,26,23,14,2.98,7.82,49,10.42,27.37,3.50,9,3,67.63,4.89,74.50,6.23,94.81,-1.34,1.20
32,"Tyler
 Yotkewich",THR,Jr,P,3,3,2,0,0,0,58,14.33,0.26,37,10,6.28,10,6,1,0.63,1.72,17,10.67,29.31,17.00,0,3,28.57,3.77,57.43,3.04,46.27,0.73,0.77
33,"Ryan
 Daly",THR,Jr,P,11,11,3,2,0,0,226,55.33,1.01,124,45,7.32,29,28,20,3.25,8.85,73,11.87,32.30,3.65,7,2,66.43,4.55,69.32,4.77,72.66,-0.22,1.17
37,"Hunter
 Ralls",THR,Sr,P,6,4,1,2,0,0,96,22.00,0.40,76,33,13.50,19,13,4,1.64,4.17,15,6.14,15.63,3.75,0,1,50.00,5.32,81.02,3.89,59.26,1.43,1.68
38,"Michael
 Pfeiffer",THR,Fr,P,4,3,0,1,0,0,49,10.00,0.18,35,12,10.80,7,7,6,5.40,12.24,6,5.40,12.24,1.00,1,1,68.18,6.30,95.98,6.77,103.13,-0.47,1.80
39,"Nathan
 Ball",THR,Sr,P,17,0,2,0,5,0,91,19.67,0.36,34,10,4.58,5,5,22,10.07,24.18,32,14.64,35.16,1.45,0,3,85.71,2.29,34.89,5.13,78.15,-2.84,1.63
40,"Zach
 Haygood",THR,So,P,13,0,2,0,0,0,86,22.00,0.40,57,15,6.14,10,9,5,2.05,5.81,21,8.59,24.42,4.20,1,2,58.25,3.68,56.06,4.21,64.10,-0.53,0.91
42,"Austin
 Gast",THR,So,P,11,0,0,2,1,0,63,13.67,0.25,34,10,6.58,14,12,11,7.24,17.46,16,10.54,25.40,1.45,2,0,38.46,7.90,120.35,6.55,99.70,1.35,1.54
99,"Jackson
 Kranawetter",THR,Fr,P,5,3,3,0,0,0,77,18.00,0.33,41,11,5.50,5,2,11,5.50,14.29,24,12.00,31.17,2.18,0,1,78.26,1.00,15.23,3.91,59.49,-2.91,1.22
99,"Karsten
 Stotlar",THR,So,P,7,0,0,0,0,0,64,12.67,0.23,47,23,16.34,11,10,6,4.26,9.38,11,7.82,17.19,1.83,0,0,62.07,7.11,108.32,4.26,64.83,2.85,2.29
99,"Matthew
 Derrick",THR,Fr,P,6,1,1,1,0,0,51,10.00,0.18,30,10,9.00,11,10,7,6.30,13.73,8,7.20,15.69,1.14,1,5,53.40,9.00,137.11,7.87,119.87,1.13,1.70
99,"Roman
 Harrison",THR,Fr,P,6,0,0,1,4,0,36,8.00,0.15,23,7,7.88,5,3,6,6.75,16.67,7,7.88,19.44,1.17,0,0,61.54,3.38,51.49,5.07,77.25,-1.69,1.62
99,"Eli
 Pillsbury",THR,Fr,P,6,0,0,1,0,0,40,6.00,0.11,16,7,10.50,13,12,14,21.00,35.00,8,12.00,20.00,0.57,0,2,43.48,18.00,274.22,9.91,150.83,8.09,3.50
99,"Ethan
 Ames",THR,Fr,P,1,1,0,0,0,0,14,2.67,0.05,8,5,16.85,2,2,3,10.11,21.43,2,6.75,14.29,0.67,1,0,90.91,6.75,102.83,11.32,172.26,-4.57,3.00
-,TOTALS,-,-,-,"3,384",954,466,472,168,0,37755,7829.30,0.26,23317,"8,502",9.77,"6,398","5,413","5,157",5.93,13.66,"7,428",8.54,19.67,1.44,651,1202,60.67,6.19,100.00,6.19,100.00,0.00,1.74
